wxn1,wxn2,wxn3,wxn4,wxn5,wxn6,wxn7,wxn8,wxn9,wxn10,wxn11,wxn12,wxn13,y0
1,175,8.15,5.04,37,31,22.972,1.98,12,1,5,1,4,0
1,176,4.65,3.05,47,32,21.025,4.59,14,1,5,2,1,1
1,177,6.61,3.87,39,29,24.444,4.31,12,1,5,1,4,1
1,178,11.85,8.38,42,32,18.026,4.39,15,2,5,1,2,0
1,179,7.96,8.72,56,27,16.545,11.7,26,2,5,1,1,0
1,181,7.33,3.27,26,28,21.368,3.74,17,1,5,2,1,1
1,182,9.07,3.11,27,28,22.03,5.53,13,2,5,1,2,1
1,183,9.07,6.63,34,28,24.19,6.55,15,1,5,2,1,1
1,184,7.67,3.3,37,25,20.937,3.64,17,2,3,1,1,0
1,185,7.37,17.76,29,31,20.703,8.16,25,1,5,2,1,1
1,187,5.55,3.88,43,26,18.81,4.03,17,2,5,2,4,1
1,189,6.36,7.35,14,29,20.661,4.2,16,1,5,1,4,0
1,191,7.96,5.74,45,25,22.349,3.29,18,2,5,2,4,1
1,192,7.13,3.05,53,27,20.83,5.24,11,2,5,1,1,1
1,196,7.95,13.6,31,27,18.555,9.24,25,1,5,1,1,1
1,199,6.33,2.59,21,22,19.531,4.43,24,2,5,1,4,0
1,200,5.45,9.17,37,29,23.63,3.13,13,2,3,1,1,1
1,201,5.98,13.3,67,31,19.979,10.06,42,1,5,1,2,1
1,203,5.68,21.98,61,30,23.438,12.63,27,2,5,1,1,1
1,204,7.93,14.66,32,24,21.077,6.4,25,2,5,2,2,1
1,205,8.9,16.3,27,34,19.53,6.01,21,1,5,1,1,1
1,206,10.24,12.88,59,27,28.134,8.11,36,1,5,1,2,1
1,207,7.45,3.53,51,30,20.2,3.63,16,2,5,2,1,1
1,208,6.9,4.76,37,32,20.889,5.72,12,1,5,1,1,0
1,210,6.96,5.42,51,33,20.83,7.61,14,1,5,1,1,1
1,211,6.91,2.99,41,23,22.68,4.13,18,2,5,2,1,1
1,212,6.55,2.08,42,34,20.447,3.14,14,2,3,2,1,0
1,213,8.43,3.3,55,32,20.658,2.14,11,2,3,1,4,1
1,214,6.92,5.42,56,32,19.778,7.14,15,1,5,2,1,1
1,215,8.83,3.42,18,22,18.827,3.53,17,1,5,1,4,1
1,216,10.37,6.54,55,27,18.026,3.54,17,1,5,1,1,0
1,217,6.83,11.61,60,29,16.447,2.95,12,1,5,1,4,1
1,218,6.32,3.28,22,28,24.219,4.71,15,1,5,2,1,0
1,219,6.84,8.89,32,26,18.975,4.92,15,2,5,1,3,1
1,220,6.66,3.6,25,24,18.314,2.32,9,1,5,1,1,1
1,222,4.55,4.74,54,30,20.029,4.18,18,1,5,1,2,0
1,223,7.21,5.08,29,28,19.045,4.18,10,2,5,1,1,1
1,224,8.33,3.37,50,23,23.613,3.24,11,1,5,2,1,1
1,225,6.43,4.1,39,27,22.59,8.72,28,1,5,1,4,0
1,227,8.82,6.03,64,33,23.15,4.07,10,2,5,1,1,1
1,229,7.24,5.93,39,31,21.083,4.38,16,1,5,1,4,1
1,230,8.31,4.64,31,28,19.473,8.48,18,2,5,1,2,1
1,231,7.18,6.15,23,27,22.547,7.46,17,2,3,1,4,1
1,232,10.23,3.02,24,29,20.96,1.43,8,2,5,1,4,1
1,235,10.06,4.95,42,26,18.132,4.07,13,2,5,2,1,1
1,236,7.51,13.25,57,28,19.92,5.17,23,1,5,1,4,1
1,237,7.96,3.63,36,21,22.266,3.88,12,2,3,2,1,1
1,238,6.39,5.98,31,31,17.851,3.81,17,1,5,1,1,0
1,239,5.53,6.62,32,26,19.979,9.35,23,1,5,2,4,1
1,240,7.68,9.07,32,33,20.78,9.88,19,1,5,1,4,0
1,241,5.78,9.17,37,30,19.778,8.93,16,1,5,1,3,1
1,243,6.15,1.82,49,28,20.893,4.99,30,1,5,2,2,1
1,244,8.34,3.75,37,27,21.83,3.32,20,2,5,1,4,1
1,245,7.7,3.8,28,27,22.83,5.71,11,1,5,2,1,0
1,246,9,5.72,26,28,19.922,1.97,15,2,5,1,1,1
1,248,8.23,7.41,28,28,22.719,9.82,14,2,5,1,2,0
1,249,8.77,8.47,38,26,21.083,10.13,18,1,5,2,1,1
1,250,5.34,1.83,30,21,17.24,3.45,13,1,5,1,1,1
1,253,9.14,6.13,25,31,19.313,3.44,16,2,5,2,1,1
1,254,6.71,2.93,22,25,18.827,5.67,13,2,3,1,4,0
1,256,10.64,18.25,32,30,24.03,5.6,16,1,5,1,1,1
1,257,6.88,3.52,35,27,19.377,3.88,17,1,5,1,1,0
1,259,9.88,22.21,42,27,20.83,3.01,21,2,5,2,1,1
1,260,6.83,5.81,29,33,23.683,10.69,13,1,5,2,1,0
1,262,5.96,5.96,58,33,21.155,5.32,15,2,3,2,4,0
1,263,6.49,7.77,45,27,19.223,7.92,21,1,5,1,4,1
1,264,5.38,4.95,30,24,23.53,5.94,18,2,5,1,4,1
1,265,5.21,19.44,36,27,23.609,16.23,43,2,5,1,1,1
1,266,9.23,6.62,54,33,22.151,3.13,17,2,3,2,4,0
1,268,7.45,6.79,19,26,20.324,6.64,14,1,5,1,1,0
1,271,8.65,5.07,44,27,18.29,4.18,18,2,5,1,1,0
1,272,4.97,1.79,38,30,19.03,5.53,15,2,5,2,1,0
1,274,7.7,5.97,25,30,21.469,7.13,24,2,5,1,2,1
1,275,5.7,4.23,29,29,24.353,7.15,18,2,5,1,1,1
1,276,7.27,7.62,42,27,23.624,2.59,21,1,5,2,1,0
1,277,5.44,4.7,47,31,21.671,7.23,19,2,5,2,1,1
1,278,7.69,6.04,55,30,20.667,3.72,14,2,3,1,1,1
1,279,6.52,6.01,31,32,17.93,10.57,22,2,5,1,1,0
1,280,6.43,5.57,27,29,21.5,4.46,16,2,5,2,1,1
1,281,8.76,6.43,39,30,20.812,4.36,14,2,3,1,1,1
1,287,5.18,3.63,60,27,18.591,6.46,27,1,5,1,1,1
1,289,7.17,2.41,42,31,20,5.77,20,1,5,2,1,1
1,291,8.95,3.36,45,30,19.959,3.94,11,2,3,1,2,0
1,293,6.66,5.69,23,31,19.979,3.31,10,2,5,2,1,1
1,295,7.91,5.45,40,34,17.528,7.36,13,2,3,2,1,1
1,296,7.83,3.75,34,33,23.373,6.09,11,1,5,1,1,1
1,299,9.69,3.97,29,28,20.281,0.89,12,2,5,2,1,0
1,300,8.62,6.77,26,23,21.83,4.49,12,2,3,1,4,0
